GeneID,GeneName,log2FC,P.Value,adj.P.Value
ENSG00000105246,EBI3,0.029738725,0.963841386,1
ENSG00000105248,CCDC94,-0.804068176,0.098496004,0.326679852
ENSG00000105251,SHD,0.213627693,0.823799159,1
ENSG00000105254,TBCB,0.180023326,0.74644048,1
ENSG00000105255,FSD1,4.472731948,0.000652072,0.042066262
ENSG00000105258,POLR2I,0.469287863,0.416640447,0.718758248
ENSG00000105261,OVOL3,0.642048735,0.476411232,0.783223173
ENSG00000105270,CLIP3,-0.621026816,0.138015812,0.38249681
ENSG00000105278,ZFR2,0.593967632,0.570454816,0.881365587
ENSG00000105281,SLC1A5,0.371851376,0.455239696,0.763292837
ENSG00000105287,PRKD2,-0.372079718,0.372255845,0.665359785
ENSG00000105289,TJP3,0.210310305,0.764073253,1
ENSG00000105290,APLP1,0.983253427,0.227617275,0.522426215
ENSG00000105298,CACTIN,0.159323387,0.766532122,1
ENSG00000105321,CCDC9,-0.335794708,0.469991613,0.776319817
ENSG00000105323,HNRNPUL1,-0.638762874,0.136762584,0.380008515
ENSG00000105325,FZR1,0.1308444,0.783617989,1
ENSG00000105327,BBC3,0.869604762,0.115456936,0.362329782
ENSG00000105329,TGFB1,-1.210197266,0.02266794,0.183355878
ENSG00000105339,DENND3,-1.881751591,0.000148562,0.020703912
ENSG00000105341,DMAC2,-0.631395994,0.15900698,0.422085547
ENSG00000105352,CEACAM4,-1.132757842,0.117706783,0.366857411
ENSG00000105355,PLIN3,0.194018821,0.710815334,1
ENSG00000105357,MYH14,-1.129326779,0.143805203,0.393783231
ENSG00000105364,MRPL4,0.524296703,0.323912547,0.603828096
ENSG00000105366,SIGLEC8,-1.487895274,0.022416041,0.182965811
ENSG00000105369,CD79A,1.516798961,0.036017125,0.212311451
ENSG00000105370,LIM2,-2.056346735,0.114378532,0.360310248
ENSG00000105371,ICAM4,0,1,1
ENSG00000105372,RPS19,0.361087955,0.570260306,0.881137794
ENSG00000105373,NOP53,-0.64690083,0.224982372,0.518266635
ENSG00000105374,NKG7,-1.356438078,0.013375241,0.155450596
ENSG00000105376,ICAM5,-0.846890156,0.159776546,0.423422199
ENSG00000105379,ETFB,0.019868312,0.967970818,1
ENSG00000105383,CD33,-1.647972201,0.008108138,0.129998524
ENSG00000105388,CEACAM5,3.132859586,0.019894416,0.17571083
ENSG00000105392,CRX,1.049862556,0.383199143,0.679300493
ENSG00000105393,BABAM1,0.111083621,0.818762858,1
ENSG00000105397,TYK2,0.162478069,0.70066836,1
ENSG00000105398,SULT2A1,0.729938695,0.739647481,1
ENSG00000105401,CDC37,-0.350269216,0.484291845,0.791831305
ENSG00000105402,NAPA,-0.945085673,0.046411802,0.231630087
ENSG00000105404,RABAC1,-0.401226442,0.497853387,0.806307098
ENSG00000105409,ATP1A3,1.771540131,0.067228801,0.272104193
ENSG00000105419,MEIS3,1.609807127,0.038614745,0.21642932
ENSG00000105426,PTPRS,0.121727407,0.820306575,1
ENSG00000105427,CNFN,1.843205932,0.022361297,0.182855645
ENSG00000105428,ZNRF4,0,1,1
ENSG00000105429,MEGF8,0.178579797,0.77568044,1
ENSG00000105438,KDELR1,0.080429099,0.858819365,1
ENSG00000105443,CYTH2,-0.014925018,0.970690014,1
ENSG00000105447,GRWD1,-0.049711941,0.92072812,1
ENSG00000105464,GRIN2D,2.997102782,0.005895759,0.116025832
