GeneID,GeneName,log2FC,P.Value,adj.P.Value
ENSG00000000003,TSPAN6,1.210920331,0.030285815,0.201038947
ENSG00000000005,TNMD,1.601534394,0.171398244,0.444140353
ENSG00000000419,DPM1,0.467464851,0.294138,0.564898506
ENSG00000000457,SCYL3,0.054446204,0.891635248,1
ENSG00000000460,C1orf112,1.437688699,0.004173094,0.100584579
ENSG00000000938,FGR,-2.995942893,4.94E-06,0.005027991
ENSG00000000971,CFH,-0.254214495,0.609656364,0.920902222
ENSG00000001036,FUCA2,-0.069719123,0.881438634,1
ENSG00000001084,GCLC,1.779399529,0.001231812,0.057757014
ENSG00000001167,NFYA,0.49282854,0.136903503,0.380302879
ENSG00000001460,STPG1,-0.006652761,0.988682167,1
ENSG00000001461,NIPAL3,-0.769729113,0.021633855,0.180705898
ENSG00000001497,LAS1L,-0.050401351,0.890905034,1
ENSG00000001561,ENPP4,-1.030708775,0.005522045,0.112644122
ENSG00000001617,SEMA3F,-0.464961033,0.372696417,0.665898689
ENSG00000001626,CFTR,-3.00270701,0.005160998,0.11013409
ENSG00000001629,ANKIB1,0.594455574,0.080838503,0.292548029
ENSG00000001630,CYP51A1,-1.457544045,0.012225936,0.150419301
ENSG00000001631,KRIT1,0.269402118,0.375839754,0.670142856
ENSG00000002016,RAD52,0.54994491,0.188352208,0.463952491
ENSG00000002079,MYH16,2.65133884,0.003811372,0.097500906
ENSG00000002330,BAD,-0.236439281,0.678109901,0.986385805
ENSG00000002549,LAP3,-0.585468519,0.144480231,0.395179207
ENSG00000002586,CD99,-0.326129267,0.515192666,0.824894719
ENSG00000002587,HS3ST1,0.652635371,0.322788744,0.602215726
ENSG00000002726,AOC1,5.816108901,0.002271389,0.07801274
ENSG00000002745,WNT16,1.066275108,0.333085608,0.616075641
ENSG00000002746,HECW1,3.329508988,0.002126349,0.076099392
ENSG00000002822,MAD1L1,-0.43158666,0.233652341,0.531818504
ENSG00000002834,LASP1,-0.430625991,0.309788139,0.585217729
ENSG00000002919,SNX11,-0.317641425,0.484425835,0.792007563
ENSG00000002933,TMEM176A,1.619925391,0.060418552,0.261021091
ENSG00000003056,M6PR,-0.893917867,0.043933056,0.227915398
ENSG00000003096,KLHL13,0.61355714,0.468487419,0.774510234
ENSG00000003137,CYP26B1,0.282559115,0.667077036,0.975713981
ENSG00000003147,ICA1,0.705220755,0.172992156,0.446567844
ENSG00000003249,DBNDD1,1.36888683,0.025386406,0.189517919
ENSG00000003393,ALS2,-0.097545042,0.779008262,1
ENSG00000003400,CASP10,-0.63617437,0.08489941,0.302285848
ENSG00000003402,CFLAR,-0.900324803,0.03505172,0.210268305
ENSG00000003436,TFPI,-0.832408995,0.230928259,0.527483435
ENSG00000003509,NDUFAF7,0.560791253,0.122514479,0.376450072
ENSG00000003756,RBM5,0.174565603,0.634722383,0.945122083
ENSG00000003987,MTMR7,1.149642474,0.060127201,0.260227084
ENSG00000003989,SLC7A2,0.574336604,0.46835043,0.774349108
ENSG00000004059,ARF5,0.418803884,0.502131058,0.811023387
ENSG00000004139,SARM1,0.224807081,0.698651187,1
ENSG00000004142,POLDIP2,0.170603619,0.709697395,1
ENSG00000004399,PLXND1,-0.963600261,0.034180703,0.208171531
ENSG00000004455,AK2,0.643558272,0.217531293,0.50617263
ENSG00000004468,CD38,-0.2409749,0.699900583,1
ENSG00000004478,FKBP4,0.811360705,0.085735204,0.304296833
ENSG00000004487,KDM1A,0.725045608,0.111176233,0.353546789
ENSG00000004534,RBM6,0.289886104,0.431477564,0.736461376
ENSG00000004660,CAMKK1,-0.195019638,0.664041536,0.972852055
ENSG00000004700,RECQL,0.286547058,0.58543059,0.896397518
ENSG00000004766,VPS50,0.097385846,0.753722932,1
ENSG00000004776,HSPB6,-2.793340533,0.000968351,0.051514423
ENSG00000004777,ARHGAP33,2.041190721,0.010341318,0.141663496
ENSG00000004779,NDUFAB1,0.75179989,0.142237992,0.390795878
ENSG00000004799,PDK4,-3.984411126,8.48E-05,0.016733096
ENSG00000004809,SLC22A16,1.092816808,0.355094518,0.643896919
ENSG00000004838,ZMYND10,0.436119191,0.763252962,1
ENSG00000004846,ABCB5,-0.694300352,0.553165608,0.864256961
ENSG00000004848,ARX,-0.542001019,0.67273464,0.981143673
ENSG00000004864,SLC25A13,0.606341899,0.125584011,0.37906611
ENSG00000004866,ST7,-1.484028749,0.000251542,0.026214064
ENSG00000004897,CDC27,0.060669777,0.84056019,1
ENSG00000004939,SLC4A1,-4.47737494,0.00031788,0.029998225
ENSG00000004948,CALCR,-1.271875446,0.175245419,0.450404483
ENSG00000004961,HCCS,-0.355543867,0.337105041,0.621250435
ENSG00000004975,DVL2,0.002623687,0.994571014,1
ENSG00000005001,PRSS22,1.070844618,0.202230602,0.480893002
ENSG00000005007,UPF1,-0.356669917,0.465176491,0.770597072
ENSG00000005020,SKAP2,-0.278161977,0.477503837,0.784252012
ENSG00000005022,SLC25A5,0.007711406,0.98843539,1
ENSG00000005059,MCUB,0.830176687,0.163335422,0.429442281
ENSG00000005073,HOXA11,5.987265435,0.00307188,0.088596574
ENSG00000005075,POLR2J,0.684530956,0.263402393,0.560967329
ENSG00000005100,DHX33,0.490247825,0.221087668,0.511946608
ENSG00000005102,MEOX1,0.411181328,0.647644586,0.956475253
ENSG00000005108,THSD7A,-0.987980377,0.041570302,0.222661757
ENSG00000005156,LIG3,0.560776464,0.104674666,0.339775551
ENSG00000005175,RPAP3,0.374147266,0.254587952,0.560967329
ENSG00000005187,ACSM3,-0.718633739,0.170931969,0.443330973
ENSG00000005189,REXO5,1.837902198,0.009806952,0.139009584
ENSG00000005194,CIAPIN1,0.082436163,0.862231403,1
ENSG00000005206,SPPL2B,0.990144509,0.134511476,0.37906611
ENSG00000005238,FAM214B,-0.573700618,0.130031042,0.37906611
ENSG00000005243,COPZ2,-0.82130529,0.138692611,0.383879975
ENSG00000005249,PRKAR2B,-0.745836915,0.162671092,0.428351883
ENSG00000005302,MSL3,-0.165038816,0.575565571,0.886896791
ENSG00000005339,CREBBP,-0.272897387,0.40892436,0.709759005
ENSG00000005379,TSPOAP1,0.078772693,0.916153351,1
ENSG00000005381,MPO,-0.699224062,0.40382281,0.703446374
ENSG00000005421,PON1,0.983585518,0.364190817,0.655322441
ENSG00000005436,GCFC2,0.255221104,0.455607543,0.763697891
ENSG00000005448,WDR54,0.973897883,0.17073986,0.442984684
ENSG00000005469,CROT,-0.118465089,0.80503148,1
ENSG00000005471,ABCB4,1.551337724,0.042166049,0.224303635
ENSG00000005483,KMT2E,-0.307035553,0.348901895,0.636464993
ENSG00000005486,RHBDD2,-1.160531373,0.029998424,0.200463451
ENSG00000005513,SOX8,-0.006453312,0.992286335,1
ENSG00000005700,IBTK,0.037708492,0.902651242,1
ENSG00000005801,ZNF195,0.708846765,0.048120211,0.235543261
ENSG00000005810,MYCBP2,-0.11604012,0.795386685,1
ENSG00000005812,FBXL3,-0.96848807,0.014188036,0.15856771
ENSG00000005844,ITGAL,-1.867673882,0.000113644,0.018543474
ENSG00000005882,PDK2,-0.924758932,0.048235625,0.235836849
ENSG00000005884,ITGA3,-0.996848825,0.024545575,0.187766051
ENSG00000005889,ZFX,-0.092584044,0.791546278,1
ENSG00000005893,LAMP2,0.204322571,0.711791689,1
ENSG00000005961,ITGA2B,-1.89708879,0.005572649,0.113180169
ENSG00000005981,ASB4,0.171649877,0.839107057,1
ENSG00000006007,GDE1,-0.578283907,0.108289035,0.346688847
ENSG00000006015,REX1BD,0.389223432,0.483226124,0.790537601
ENSG00000006016,CRLF1,1.746464529,0.09389594,0.316896834
ENSG00000006025,OSBPL7,0.281378968,0.560391263,0.87082228
ENSG00000006042,TMEM98,-0.899584046,0.092949372,0.315267881
ENSG00000006047,YBX2,4.434105771,5.57E-05,0.013416859
ENSG00000006059,KRT33A,0,1,1
ENSG00000006062,MAP3K14,-0.492989968,0.309314546,0.584596542
ENSG00000006071,ABCC8,1.255168867,0.32752564,0.608646455
ENSG00000006116,CACNG3,3.926915081,0.046384339,0.231515037
ENSG00000006118,TMEM132A,1.673637579,0.017709352,0.170099215
ENSG00000006125,AP2B1,-0.449312715,0.224679868,0.517727539
ENSG00000006128,TAC1,-1.97426711,0.155852758,0.416362295
ENSG00000006194,ZNF263,0.038789321,0.910614879,1
ENSG00000006210,CX3CL1,-2.232716991,0.000872033,0.04892949
ENSG00000006282,SPATA20,-0.006283619,0.989149722,1
ENSG00000006283,CACNA1G,-0.005333706,0.994349098,1
ENSG00000006327,TNFRSF12A,0.53569684,0.521100641,0.831185687
ENSG00000006377,DLX6,6.502303246,0.000818952,0.047309144
ENSG00000006432,MAP3K9,0.417047301,0.441383444,0.747457578
ENSG00000006451,RALA,-0.388137473,0.38622456,0.682981612
ENSG00000006453,BAIAP2L1,0.621680331,0.138808413,0.384059893
ENSG00000006459,KDM7A,0.272851401,0.41970872,0.722382474
ENSG00000006468,ETV1,-1.321849161,0.029023771,0.198059628
ENSG00000006530,AGK,0.535479622,0.077589433,0.28749013
ENSG00000006534,ALDH3B1,-1.014225124,0.140693656,0.387945036
ENSG00000006555,TTC22,0.147292511,0.833539398,1
ENSG00000006576,PHTF2,0.861934663,0.036350217,0.212900379
ENSG00000006606,CCL26,3.320924798,0.007400378,0.126190317
ENSG00000006607,FARP2,0.10844682,0.747206274,1
ENSG00000006611,USH1C,5.002915757,0.00211665,0.076005247
ENSG00000006625,GGCT,1.003461749,0.021594552,0.180681882
ENSG00000006634,DBF4,1.728910415,0.001350567,0.060598161
ENSG00000006638,TBXA2R,-1.070218512,0.077645559,0.28749013
ENSG00000006652,IFRD1,0.799426923,0.05676129,0.254642716
ENSG00000006659,LGALS14,1.426593501,0.294542368,0.565477592
ENSG00000006695,COX10,0.170205063,0.67417779,0.982608686
ENSG00000006704,GTF2IRD1,0.210028713,0.597960478,0.90932149
ENSG00000006712,PAF1,-0.487430165,0.271472461,0.560967329
ENSG00000006715,VPS41,-0.229155837,0.461607516,0.766574433
ENSG00000006740,ARHGAP44,-1.986730313,0.009023523,0.135158428
ENSG00000006744,ELAC2,-0.043481089,0.91370473,1
ENSG00000006747,SCIN,-0.301541888,0.671739551,0.980371265
ENSG00000006756,ARSD,-0.520821133,0.160298098,0.424102522
ENSG00000006757,PNPLA4,-0.385364226,0.355207563,0.644024673
ENSG00000006788,MYH13,3.104134874,0.023792839,0.186144696
ENSG00000006831,ADIPOR2,-1.229260098,0.004712136,0.10605145
ENSG00000006837,CDKL3,0.883651748,0.146561885,0.399167855
ENSG00000007001,UPP2,1.07024888,0.303996864,0.577615052
ENSG00000007038,PRSS21,-0.880036471,0.43488992,0.740657242
ENSG00000007047,MARK4,-0.037676166,0.932279519,1
ENSG00000007062,PROM1,0.646198715,0.612486267,0.92360834
ENSG00000007080,CCDC124,0.192131995,0.750116685,1
ENSG00000007129,CEACAM21,-2.450566091,0.000325606,0.030485469
ENSG00000007168,PAFAH1B1,-0.763982557,0.025467401,0.189791131
ENSG00000007171,NOS2,-0.64323593,0.457910752,0.765391826
ENSG00000007174,DNAH9,0.82251331,0.632233374,0.9425529
ENSG00000007202,KIAA0100,-0.316225689,0.401373627,0.701687461
ENSG00000007216,SLC13A2,-1.521077905,0.173503955,0.447404687
ENSG00000007237,GAS7,-1.590012537,0.004276741,0.101654539
ENSG00000007255,TRAPPC6A,-0.050361919,0.942149512,1
ENSG00000007264,MATK,-1.424413396,0.038729024,0.216926396
ENSG00000007306,CEACAM7,1.524876929,0.173220057,0.446889128
ENSG00000007312,CD79B,0.679388363,0.258826708,0.560967329
ENSG00000007314,SCN4A,4.71951741,0.000932236,0.050584363
ENSG00000007341,ST7L,0.182794067,0.627695134,0.938316955
ENSG00000007350,TKTL1,-3.85696038,0.00261876,0.082452094
ENSG00000007372,PAX6,-0.402763608,0.475573275,0.782185739
ENSG00000007376,RPUSD1,1.179949602,0.076281495,0.285651462
ENSG00000007384,RHBDF1,-0.166569641,0.721739624,1
ENSG00000007392,LUC7L,1.137469185,0.005768271,0.115180702
ENSG00000007402,CACNA2D2,-2.299193024,0.037991625,0.215552337
ENSG00000007516,BAIAP3,0.632563217,0.557959301,0.868515863
ENSG00000007520,TSR3,0.157678695,0.754337095,1
ENSG00000007541,PIGQ,-0.249030582,0.654432918,0.963332147
ENSG00000007545,CRAMP1,0.113602837,0.783606807,1
ENSG00000007866,TEAD3,-0.654804689,0.228806062,0.524199888
ENSG00000007908,SELE,0.26297487,0.82614642,1
ENSG00000007923,DNAJC11,0.314996466,0.452688047,0.760314265
ENSG00000007933,FMO3,-1.817664971,0.001284539,0.058947479
ENSG00000007944,MYLIP,-1.108733097,0.010427546,0.141915365
ENSG00000007952,NOX1,0.828223869,0.232785154,0.530375661
ENSG00000007968,E2F2,2.218863741,0.006642705,0.120638844
ENSG00000008018,PSMB1,0.599794839,0.337689548,0.621920067
ENSG00000008056,SYN1,1.509736663,0.120157033,0.372098603
ENSG00000008083,JARID2,0.239645423,0.597693657,0.9090977
ENSG00000008086,CDKL5,-1.478186186,0.011935751,0.148774992
ENSG00000008118,CAMK1G,-1.14838266,0.073045795,0.283344661
ENSG00000008128,CDK11A,0.108684244,0.822200563,1
ENSG00000008130,NADK,-0.046948341,0.905404589,1
ENSG00000008196,TFAP2B,0.698586692,0.572053274,0.882978134
ENSG00000008197,TFAP2D,2.898840468,0.0189658,0.17299178
ENSG00000008226,DLEC1,1.675585399,0.242707864,0.545734032
ENSG00000008256,CYTH3,-0.405536372,0.22008902,0.51032918
ENSG00000008277,ADAM22,0.517406249,0.35275687,0.641215176
ENSG00000008282,SYPL1,-0.134967769,0.76708697,1
ENSG00000008283,CYB561,0.045183817,0.925007814,1
ENSG00000008294,SPAG9,-0.584994336,0.094215182,0.317602097
ENSG00000008300,CELSR3,4.106894937,2.28E-05,0.009010414
ENSG00000008311,AASS,-0.460415812,0.396120755,0.695277624
ENSG00000008323,PLEKHG6,0.238662888,0.734078534,1
ENSG00000008324,SS18L2,0.359902235,0.47198939,0.778259434
ENSG00000008382,MPND,-0.76398513,0.148309887,0.402595346
ENSG00000008394,MGST1,-0.041298754,0.941355694,1
ENSG00000008405,CRY1,-0.793740154,0.054730316,0.249065995
ENSG00000008438,PGLYRP1,-0.459178874,0.677282377,0.985471276
ENSG00000008441,NFIX,-1.881197565,0.001029213,0.053068953
ENSG00000008513,ST3GAL1,-1.112035676,0.039108677,0.21728513
ENSG00000008516,MMP25,-0.373701907,0.522066833,0.8322659
ENSG00000008517,IL32,-0.454514682,0.461524908,0.766479337
ENSG00000008710,PKD1,0.257455159,0.643604516,0.952905239
ENSG00000008735,MAPK8IP2,2.171840444,0.034159774,0.208127894
ENSG00000008838,MED24,-0.525096071,0.306334178,0.58070614
ENSG00000008853,RHOBTB2,-1.641351002,0.016511307,0.165856486
ENSG00000008869,HEATR5B,-0.8197102,0.035977303,0.21225275
ENSG00000008952,SEC62,-0.765582199,0.031194947,0.202680911
ENSG00000008988,RPS20,-0.12333658,0.824841276,1
ENSG00000009307,CSDE1,-0.811938561,0.023160917,0.184831998
ENSG00000009335,UBE3C,-0.138958758,0.647962218,0.956734097
ENSG00000009413,REV3L,-0.221211537,0.659916073,0.968567639
ENSG00000009694,TENM1,1.878873654,0.025356996,0.189517919
ENSG00000009709,PAX7,8.528808535,0.000423493,0.034473916
ENSG00000009724,MASP2,0.288378762,0.704966692,1
ENSG00000009765,IYD,0.866500745,0.384343139,0.680777416
ENSG00000009780,FAM76A,-0.735637095,0.054395663,0.248059479
ENSG00000009790,TRAF3IP3,0.420369356,0.308613772,0.583637257
ENSG00000009830,POMT2,0.247534794,0.542695953,0.852872089
ENSG00000009844,VTA1,0.096972043,0.800652664,1
ENSG00000009950,MLXIPL,-0.997971175,0.187023336,0.463952491
ENSG00000009954,BAZ1B,-0.139516645,0.7023221,1
ENSG00000010017,RANBP9,0.12931435,0.677996952,0.986273889
ENSG00000010030,ETV7,0.257811526,0.590540037,0.901579309
ENSG00000010072,SPRTN,0.393727322,0.276128737,0.560967329
ENSG00000010165,METTL13,0.284209874,0.537530818,0.847778989
ENSG00000010219,DYRK4,-0.429479772,0.323989721,0.6038789
ENSG00000010244,ZNF207,0.322030966,0.306489193,0.580927167
ENSG00000010256,UQCRC1,0.011599388,0.98285025,1
ENSG00000010270,STARD3NL,-0.300997588,0.497864605,0.806307098
ENSG00000010278,CD9,-1.121188527,0.059915701,0.259857468
ENSG00000010282,HHATL,1.648932269,0.302771676,0.576115451
ENSG00000010292,NCAPD2,0.42802604,0.353049452,0.641534925
ENSG00000010295,IFFO1,-0.961312853,0.017266063,0.16887181
ENSG00000010310,GIPR,1.595426135,0.09251331,0.314211731
ENSG00000010318,PHF7,0.076313642,0.870011987,1
ENSG00000010319,SEMA3G,-3.924865346,3.19E-05,0.010404416
ENSG00000010322,NISCH,-0.637833018,0.171876856,0.445022299
ENSG00000010327,STAB1,0.248605031,0.644257162,0.953498078
ENSG00000010361,FUZ,-0.154949535,0.788382123,1
ENSG00000010379,SLC6A13,-3.179363116,0.00090489,0.049936533
ENSG00000010404,IDS,-0.31590439,0.373170838,0.666563061
ENSG00000010438,PRSS3,4.781059461,0.001412947,0.061708837
ENSG00000010539,ZNF200,0.305433218,0.387878007,0.685091732
ENSG00000010610,CD4,-1.569597008,0.001103406,0.054747606
ENSG00000010626,LRRC23,0.184040765,0.838459233,1
ENSG00000010671,BTK,-1.861648921,0.000451733,0.035540485
ENSG00000010704,HFE,-0.003958463,0.992534188,1
ENSG00000010803,SCMH1,-0.360898892,0.247692919,0.553731687
ENSG00000010810,FYN,-0.728557457,0.096801883,0.323062864
ENSG00000010818,HIVEP2,-0.504194205,0.252257605,0.560967329
ENSG00000010932,FMO1,2.761527391,0.00220057,0.077023778
ENSG00000011007,ELOA,-0.602163504,0.126097825,0.37906611
ENSG00000011009,LYPLA2,0.558752244,0.281866598,0.560967329
ENSG00000011021,CLCN6,-0.261836382,0.51482322,0.82454329
ENSG00000011028,MRC2,-1.119733943,0.051951446,0.243636449
ENSG00000011052,NME1-NME2,1.096547855,0.141598811,0.389641533
ENSG00000011083,SLC6A7,1.062885042,0.294085421,0.564833398
ENSG00000011105,TSPAN9,-1.090039971,0.052044903,0.24388568
ENSG00000011114,BTBD7,-0.412114997,0.255946523,0.560967329
ENSG00000011132,APBA3,0.218800959,0.629793494,0.940321326
ENSG00000011143,MKS1,0.554566042,0.253176267,0.560967329
ENSG00000011198,ABHD5,-1.422824036,0.000431674,0.034673256
ENSG00000011201,ANOS1,-2.78462246,5.06E-05,0.012769179
ENSG00000011243,AKAP8L,0.022351878,0.956827338,1
ENSG00000011258,MBTD1,0.605874964,0.119981888,0.371708473
ENSG00000011260,UTP18,0.198300555,0.621374287,0.93266282
ENSG00000011275,RNF216,0.007728679,0.982386345,1
ENSG00000011295,TTC19,-0.491605177,0.120837343,0.373268897
ENSG00000011304,PTBP1,0.138464417,0.751118059,1
ENSG00000011332,DPF1,2.296490182,0.021738148,0.180980304
ENSG00000011347,SYT7,3.782355499,5.21E-05,0.012968699
ENSG00000011376,LARS2,0.029741427,0.936892953,1
ENSG00000011405,PIK3C2A,-0.353611546,0.335412276,0.6189322
ENSG00000011422,PLAUR,0.941888951,0.212715577,0.498515043
ENSG00000011426,ANLN,3.619405624,8.10E-05,0.01638297
ENSG00000011451,WIZ,-0.148983326,0.763138078,1
ENSG00000011454,RABGAP1,-0.813779871,0.014440086,0.159134663
ENSG00000011465,DCN,-1.446943986,0.014962947,0.161049773
ENSG00000011478,QPCTL,0.892617426,0.109826447,0.35035033
ENSG00000011485,PPP5C,-0.042641552,0.920097021,1
ENSG00000011523,CEP68,-0.136885281,0.652072415,0.960949658
ENSG00000011566,MAP4K3,0.339463762,0.390923507,0.688693536
ENSG00000011590,ZBTB32,1.328233881,0.076018295,0.285651462
ENSG00000011600,TYROBP,-1.245252098,0.123360231,0.37822258
ENSG00000011638,TMEM159,0.222627906,0.657284207,0.965886988
ENSG00000011677,GABRA3,7.806725438,0.000490616,0.037046123
ENSG00000012048,BRCA1,1.758800124,0.003524266,0.094586218
ENSG00000012061,ERCC1,-0.056882268,0.892685298,1
ENSG00000012124,CD22,-1.733592016,0.002788077,0.084781944
ENSG00000012171,SEMA3B,-1.124422687,0.232463342,0.529789379
ENSG00000012174,MBTPS2,0.172395618,0.601912157,0.913218438
ENSG00000012211,PRICKLE3,-0.023293674,0.959755338,1
ENSG00000012223,LTF,2.39980783,0.043797057,0.22785631
ENSG00000012232,EXTL3,0.787886594,0.132886805,0.37906611
ENSG00000012504,NR1H4,1.092519558,0.415069683,0.716874549
ENSG00000012660,ELOVL5,-0.083922986,0.81725645,1
ENSG00000012779,ALOX5,-2.778444321,4.94E-06,0.005027991
ENSG00000012817,KDM5D,0.31429191,0.562699296,0.873282319
ENSG00000012822,CALCOCO1,-1.705851744,0.000324408,0.030485469
ENSG00000012963,UBR7,-0.290823409,0.391678359,0.689581481
ENSG00000012983,MAP4K5,-0.106745956,0.752259517,1
ENSG00000013016,EHD3,-0.210503596,0.710007705,1
ENSG00000013275,PSMC4,0.166183991,0.715426949,1
ENSG00000013288,MAN2B2,-1.428108176,0.00063255,0.041540171
ENSG00000013293,SLC7A14,4.159442998,0.037676751,0.215362168
ENSG00000013297,CLDN11,-0.615003538,0.382917809,0.678940485
ENSG00000013306,SLC25A39,0.955544104,0.112045198,0.355291482
ENSG00000013364,MVP,-0.227812734,0.662308125,0.971069102
ENSG00000013374,NUB1,0.010895522,0.975203417,1
ENSG00000013375,PGM3,0.197418603,0.500390068,0.809075641
ENSG00000013392,RWDD2A,-0.365204577,0.349066414,0.636649897
ENSG00000013441,CLK1,0.116577408,0.748824291,1
ENSG00000013503,POLR3B,-0.319394269,0.335408179,0.6189322
ENSG00000013523,ANGEL1,-0.409161014,0.218031346,0.506946138
ENSG00000013561,RNF14,-0.644785758,0.043264546,0.226462098
ENSG00000013563,DNASE1L1,-0.405298022,0.34542731,0.63187999
ENSG00000013573,DDX11,2.031850231,0.006016325,0.116517891
ENSG00000013583,HEBP1,-1.380374387,0.002452843,0.080536278
ENSG00000013588,GPRC5A,-2.371748154,0.003174472,0.089804295
ENSG00000013619,MAMLD1,-0.702431603,0.164509288,0.43167145
ENSG00000013725,CD6,-0.524104065,0.18349833,0.463952491
ENSG00000013810,TACC3,1.064356987,0.031062277,0.202635774
ENSG00000014123,UFL1,-0.175072241,0.566445152,0.877052508
ENSG00000014138,POLA2,0.586186283,0.170363831,0.442331641
ENSG00000014164,ZC3H3,-0.091198713,0.825587388,1
ENSG00000014216,CAPN1,-0.40769497,0.410630452,0.711882642
ENSG00000014257,ACPP,-1.118141345,0.064821308,0.268589386
ENSG00000014641,MDH1,-0.135104928,0.743953933,1
ENSG00000014824,SLC30A9,-0.072129711,0.821145289,1
ENSG00000014914,MTMR11,1.120566042,0.063600279,0.268589386
ENSG00000014919,COX15,-0.026321221,0.925129759,1
ENSG00000015133,CCDC88C,0.057561765,0.917495683,1
ENSG00000015153,YAF2,0.055769685,0.894537351,1
ENSG00000015171,ZMYND11,-0.972836663,0.005047748,0.109545358
ENSG00000015285,WAS,-1.577812814,0.001637605,0.06644547
ENSG00000015413,DPEP1,2.258369746,0.01725037,0.168822381
ENSG00000015475,BID,0.03111624,0.952273491,1
ENSG00000015479,MATR3,1.876756181,0.02308635,0.184583803
ENSG00000015520,NPC1L1,3.622670745,0.014832644,0.16074589
ENSG00000015532,XYLT2,0.245377195,0.552033462,0.863023214
ENSG00000015568,RGPD5,0.81172436,0.454202222,0.76219341
ENSG00000015592,STMN4,0.584545635,0.63171892,0.942018132
ENSG00000015676,NUDCD3,-0.382376604,0.286127053,0.560967329
ENSG00000016082,ISL1,7.457548847,0.001190857,0.056558974
ENSG00000016391,CHDH,-0.516080179,0.309690329,0.585123731
ENSG00000016402,IL20RA,-2.565879332,0.000490381,0.037046123
ENSG00000016490,CLCA1,-0.118517252,0.922607615,1
ENSG00000016602,CLCA4,0.611629927,0.684303054,0.992439613
ENSG00000016864,GLT8D1,-0.118318604,0.719641604,1
ENSG00000017260,ATP2C1,-0.366445279,0.354270129,0.642883896
ENSG00000017427,IGF1,0.464973305,0.525530922,0.835700943
ENSG00000017483,SLC38A5,-1.193447073,0.032113039,0.204392788
ENSG00000017797,RALBP1,-0.616634531,0.086448768,0.306003444
ENSG00000018189,RUFY3,0.296101556,0.455183,0.763240092
ENSG00000018236,CNTN1,-1.77471991,0.002458104,0.080536278
ENSG00000018280,SLC11A1,-2.248141317,0.000348316,0.031551137
ENSG00000018408,WWTR1,-1.234526619,0.020024154,0.176286374
ENSG00000018510,AGPS,-0.16627311,0.583814843,0.894875013
ENSG00000018607,ZNF806,-0.798277022,0.47408301,0.780371291
ENSG00000018610,CXorf56,0.124095477,0.751963541,1
ENSG00000018625,ATP1A2,-2.787058328,0.009608562,0.137681743
ENSG00000018699,TTC27,0.278207976,0.425140093,0.728785767
ENSG00000018869,ZNF582,-0.475613903,0.323729844,0.603557569
ENSG00000019102,VSIG2,-2.466955353,0.022573843,0.183264941
ENSG00000019144,PHLDB1,-0.288299859,0.398634137,0.698230243
ENSG00000019169,MARCO,-4.243996522,6.50E-06,0.005783521
ENSG00000019186,CYP24A1,4.462981144,0.003047309,0.088313557
ENSG00000019485,PRDM11,-1.475475744,0.007346581,0.125872362
ENSG00000019505,SYT13,4.114132964,0.053057323,0.244742683
ENSG00000019549,SNAI2,0.600353322,0.382305888,0.678253169
ENSG00000019582,CD74,-1.946478416,0.002294487,0.078297558
ENSG00000019991,HGF,1.439092703,0.168862465,0.439717075
ENSG00000019995,ZRANB1,-0.548977211,0.173592075,0.447515068
ENSG00000020129,NCDN,-0.375783773,0.412823998,0.714368775
ENSG00000020181,ADGRA2,-0.938558344,0.119446999,0.370733228
ENSG00000020219,CCT8L1P,2.563078568,0.061721041,0.263467691
ENSG00000020256,ZFP64,0.601223172,0.150094445,0.405909336
ENSG00000020426,MNAT1,0.358665998,0.299292727,0.571286254
ENSG00000020577,SAMD4A,-1.017173734,0.057740145,0.256845997
ENSG00000020633,RUNX3,-0.778611423,0.117839828,0.367178728
ENSG00000020922,MRE11,0.573437866,0.084899761,0.302285848
ENSG00000021300,PLEKHB1,-0.921543537,0.185394955,0.463952491
ENSG00000021355,SERPINB1,-0.486972237,0.408488628,0.709232524
ENSG00000021461,CYP3A43,0.773312321,0.510770178,0.820438781
ENSG00000021488,SLC7A9,5.031757238,0.003578587,0.095174324
ENSG00000021574,SPAST,0.31553386,0.314670453,0.591613709
ENSG00000021645,NRXN3,-1.759021509,0.008175479,0.130131
ENSG00000021762,OSBPL5,-0.608445249,0.177961506,0.455083957
ENSG00000021776,AQR,0.005287855,0.987656254,1
ENSG00000021826,CPS1,4.779337973,0.00454173,0.104336205
ENSG00000021852,C8B,-2.880777564,0.018673253,0.172298145
ENSG00000022267,FHL1,-3.29259548,3.47E-05,0.010926259
ENSG00000022277,RTF2,-0.32328205,0.446241682,0.753086861
ENSG00000022355,GABRA1,4.789956716,0.015087308,0.161116965
ENSG00000022556,NLRP2,0.662025484,0.423740694,0.727376426
ENSG00000022567,SLC45A4,0.073696782,0.85911249,1
ENSG00000022840,RNF10,-0.710446673,0.054897999,0.249653808
ENSG00000022976,ZNF839,0.022663583,0.954902242,1
ENSG00000023041,ZDHHC6,0.063624787,0.828651971,1
ENSG00000023171,GRAMD1B,2.466829015,0.009758773,0.138784898
ENSG00000023191,RNH1,-1.151236433,0.028697122,0.19707819
ENSG00000023228,NDUFS1,0.092448398,0.76448424,1
ENSG00000023287,RB1CC1,0.103567538,0.773176623,1
ENSG00000023318,ERP44,-0.426890821,0.237520655,0.537736938
ENSG00000023330,ALAS1,-1.261829148,0.007117133,0.124592052
