# Feature1 Sys. Name	Feature1 Std. Name	Feature2 Sys. Name	Feature2 Std. Name	PE Score	Conf. Score	Direct Score	Indirect Score
YBL022C	PIM1	YOR107W	RGS2	1.001458	0.056438	2.002917	0
YBR187W	YBR187W	YPL217C	BMS1	1.001458	0.056438	2.002917	0
YJR031C	GEA1	YPL116W	HOS3	1.001458	0.056438	2.002917	0
YGR214W	RPS0A	YLL045C	RPL8B	1.001473	0.05644	-0.309804	2.252289
YCL050C	APA1	YDL112W	TRM3	1.001507	0.056445	-0.929412	0
YBR031W	RPL4A	YEL022W	GEA2	1.001508	0.056445	0	0
YHR143W-A	RPC10	YPL129W	TAF14	1.001549	0.056451	-1.239216	3.242313
YDR507C	GIN4	YER074W	RPS24A	1.001567	0.056453	-0.309804	2.312937
YLR048W	RPS0B	YMR194W	RPL36A	1.001595	0.056458	-0.309804	1.294237
YDL095W	PMT1	YJL190C	RPS22A	1.001605	0.056459	1.110671	0.89254
YEL021W	URA3	YJL154C	VPS35	1.001613	0.05646	1.169106	0.83412
YHR031C	RRM3	YMR290C	HAS1	1.001625	0.056462	0	2.003251
YLR075W	RPL10	YPR052C	NHP6A	1.001629	0.056462	-0.309804	0.81876
YJL138C	TIF2	YMR116C	ASC1	1.00165	0.056465	-0.929412	1.79726
YDR225W	HTA1	YMR125W	STO1	1.001653	0.056466	-1.239216	0
YLL036C	PRP19	YPR134W	MSS18	1.00166	0.056467	2.003321	0
YJL074C	SMC3	YKL203C	TOR2	1.001671	0.056469	-0.929412	2.932755
YBR247C	ENP1	YCR057C	PWP2	1.001692	0.056472	-2.788235	0
YCR067C	SED4	YLL004W	ORC3	1.001787	0.056485	2.003575	0
YDR104C	SPO71	YML069W	POB3	1.001787	0.056485	2.003575	0
YGL049C	TIF4632	YKR069W	MET1	1.001787	0.056485	2.003575	0
YGR199W	PMT6	YLL004W	ORC3	1.001787	0.056485	2.003575	0
YHL024W	RIM4	YJR138W	IML1	1.001787	0.056485	2.003575	0
YKL008C	LAC1	YKL145W	RPT1	1.00185	0.056495	0	0
YDR381W	YRA1	YJR082C	EAF6	1.001861	0.056496	0.696372	1.30735
YDR450W	RPS18A	YGR145W	ENP2	1.001862	0.056496	-0.309804	0
YGR185C	TYS1	YHR203C	RPS4B	1.001875	0.056498	-0.619608	0
YBR181C	RPS6B	YKR059W	TIF1	1.002006	0.056517	-0.309804	0.784527
YEL012W	UBC8	YIL152W	YIL152W	1.002027	0.05652	2.004054	0
YIR007W	YIR007W	YMR190C	SGS1	1.002027	0.05652	2.004054	0
YBR045C	GIP1	YHR099W	TRA1	1.002041	0.056522	0	2.004082
YHR099W	TRA1	YLR234W	TOP3	1.002041	0.056522	0	2.004082
YIL129C	TAO3	YJL073W	JEM1	1.002041	0.056522	0	2.004082
YEL034W	HYP2	YHL015W	RPS20	1.002126	0.056535	0	2.004252
YER109C	FLO8	YPL012W	RRP12	1.002185	0.056543	-0.309804	2.314174
YGR063C	SPT4	YPL129W	TAF14	1.002206	0.056546	-2.168627	4.173039
YMR012W	CLU1	YMR108W	ILV2	1.002214	0.056547	-0.309804	0
YGR214W	RPS0A	YNL004W	HRB1	1.002241	0.056551	-0.309804	0.90129
YCR012W	PGK1	YPL012W	RRP12	1.002247	0.056552	-0.929412	0.603996
YGL123W	RPS2	YPL143W	RPL33A	1.002322	0.056563	0	2.004644
YGL181W	GTS1	YHR141C	RPL42B	1.002322	0.056563	0	2.004644
YHR141C	RPL42B	YMR269W	YMR269W	1.002322	0.056563	0	2.004644
YKL150W	MCR1	YMR257C	PET111	1.002322	0.056563	0	2.004644
YCL011C	GBP2	YLR275W	SMD2	1.002348	0.056567	-0.619608	0
YDR064W	RPS13	YHR121W	LSM12	1.002404	0.056575	-0.309804	3.155045
YDL182W	LYS20	YNL178W	RPS3	1.002499	0.056589	2.004997	0
YGR207C	YGR207C	YNR058W	BIO3	1.002507	0.05659	2.005014	0
YGR148C	RPL24B	YNL096C	RPS7B	1.002586	0.056601	0	2.005173
YDR320C	SWA2	YEL003W	GIM4	1.002587	0.056602	-1.239216	3.24439
YJR137C	ECM17	YKL103C	LAP4	1.002587	0.056602	-1.239216	3.24439
YBR031W	RPL4A	YLL023C	YLL023C	1.00262	0.056606	0	2.00524
YGL099W	LSG1	YNL069C	RPL16B	1.002626	0.056607	-0.929412	0
YDL148C	NOP14	YJL008C	CCT8	1.002636	0.056609	-0.619608	3.465313
YER054C	GIP2	YLL045C	RPL8B	1.002645	0.05661	-0.309804	2.315094
YDR064W	RPS13	YML112W	CTK3	1.002862	0.056642	1.131831	0
YBR191W	RPL21A	YGR231C	PHB2	1.002884	0.056645	0	2.005769
YBR191W	RPL21A	YJR125C	ENT3	1.002884	0.056645	0	2.005769
YBR191W	RPL21A	YNL283C	WSC2	1.002884	0.056645	0	2.005769
YCR089W	FIG2	YDL199C	YDL199C	1.002884	0.056645	0	2.005769
YGL116W	CDC20	YGR005C	TFG2	1.002884	0.056645	0	2.005769
YHR171W	ATG7	YPR117W	YPR117W	1.002884	0.056645	0	2.005769
YKL134C	1-Oct	YLR045C	STU2	1.002884	0.056645	0	2.005769
YMR198W	CIK1	YPR030W	CSR2	1.002884	0.056645	0	2.005769
YBR189W	RPS9B	YGL189C	RPS26A	1.002907	0.056648	0	2.005814
YDR356W	SPC110	YGR085C	RPL11B	1.002907	0.056648	0	2.005814
YHR085W	IPI1	YJL130C	URA2	1.002917	0.056649	-1.239216	0.789958
YFR014C	CMK1	YKL145W	RPT1	1.002928	0.056649	-0.309804	0
YDL139C	SCM3	YDR124W	YDR124W	1.002939	0.056649	2.005877	0
YAL038W	CDC19	YDL198C	GGC1	1.002965	0.05665	0	0
YDL247W	MPH2	YLR258W	GSY2	1.003	0.056652	-0.619608	2.625608
YER089C	PTC2	YPL168W	YPL168W	1.003	0.056652	-0.619608	2.625608
YGL092W	NUP145	YNL245C	CWC25	1.003	0.056652	-0.619608	2.625608
YBL004W	UTP20	YPL131W	RPL5	1.003004	0.056652	0	0.50396
YDL215C	GDH2	YMR069W	NAT4	1.003067	0.056655	-0.309804	2.315938
YBR109C	CMD1	YOL146W	PSF3	1.003073	0.056655	-0.619608	0
YDR115W	YDR115W	YDR322W	MRPL35	1.003073	0.056655	-0.619608	0
YDR322W	MRPL35	YGL064C	MRH4	1.003073	0.056655	-0.619608	0
YDR322W	MRPL35	YMR286W	MRPL33	1.003073	0.056655	-0.619608	0
YDR450W	RPS18A	YNR054C	ESF2	1.003073	0.056655	-0.619608	0
YGR148C	RPL24B	YLR304C	ACO1	1.003073	0.056655	-0.619608	0
YJR058C	APS2	YPL090C	RPS6A	1.003073	0.056655	-0.619608	0
YLR304C	ACO1	YMR134W	YMR134W	1.003073	0.056655	-0.619608	0
YLR304C	ACO1	YOR369C	RPS12	1.003073	0.056655	-0.619608	0
YPL090C	RPS6A	YPL152W	RRD2	1.003073	0.056655	-0.619608	0
YJL191W	RPS14B	YNL106C	INP52	1.003155	0.056666	-0.309804	0
YER027C	GAL83	YER162C	RAD4	1.003167	0.056667	1.195746	0.810587
YIL129C	TAO3	YOL127W	RPL25	1.003196	0.056671	0	0.396056
YJL177W	RPL17B	YOL135C	MED7	1.003223	0.056675	-0.619608	0
YGR054W	YGR054W	YHR015W	MIP6	1.003228	0.056675	0	2.006456
YHR015W	MIP6	YLR228C	ECM22	1.003228	0.056675	0	2.006456
YDR502C	SAM2	YMR116C	ASC1	1.003278	0.056682	-0.619608	0
YFR030W	MET10	YMR116C	ASC1	1.003278	0.056682	-0.619608	0
YGL213C	SKI8	YOL127W	RPL25	1.003294	0.056684	-0.309804	1.320744
YDR471W	RPL27B	YMR049C	ERB1	1.003333	0.056689	-2.478431	0
YCR076C	YCR076C	YPL085W	SEC16	1.003334	0.056689	-0.309804	2.316471
YHR184W	SSP1	YJR065C	ARP3	1.003334	0.056689	-0.309804	2.316471
YJR065C	ARP3	YPR165W	RHO1	1.003334	0.056689	-0.309804	2.316471
YMR230W	RPS10B	YNL084C	END3	1.003334	0.056689	-0.309804	2.316471
YEL026W	SNU13	YNL308C	KRI1	1.003424	0.056701	-0.929412	3.776693
YDL055C	PSA1	YGL126W	SCS3	1.003444	0.056704	0	0
YAL036C	RBG1	YLR197W	SIK1	1.003445	0.056704	-1.239216	3.246106
YBR156C	SLI15	YMR303C	ADH2	1.003448	0.056704	0	2.006895
YDR406W	PDR15	YMR303C	ADH2	1.003448	0.056704	0	2.006895
YER064C	YER064C	YER094C	PUP3	1.003448	0.056704	0	2.006895
YGR154C	YGR154C	YPL264C	YPL264C	1.003448	0.056704	0	2.006895
