Hugo_Symbol	expr.mean
KLHL6	0.091429331
HOXB5	0.383992916
NENF	-0.008440296
CUGBP1	-0.008734918
PRSS22	-0.023168505
CASC4	-0.031772415
CUL4B	0.020022303
CENPJ	0.039579402
PITX1	-0.078608784
FLJ31033	0.019047775
CELSR3	0.181706587
ZNF568	-0.030271024
ITSN1	0.000792046
EHBP1L1	0.019175203
C19orf2	0.106853748
DCTN1	0.00838117
LIN28B	0.028568726
TNKS2	0.000278793
C1QBP	-0.008982176
CADPS2	-0.114151737
SRMS	0.039949574
GJA9	-0.004682806
MGC24975	0.048569446
TRIM45	-0.009113051
TSP50	0.167204755
TCP1	0.041284735
TMED7	-0.027871115
CMA1	
CENPL	-0.008244682
PTCRA	0.099560329
FST	0.118559263
VWCE	0.097520567
PAWR	0.022499086
ABCC12	0.432762585
LDLR	0.031244424
ASTN2	-0.036541865
LOC441212	0.020952011
GPATCH8	0.018677788
TANC2	-0.024481903
KIF4A	-0.060085009
C18orf18	0.001179616
PGM1	0.01313894
KIAA0258	0.038755027
CPD	0.016961022
SNCAIP	0.059790978
DCT	-0.011145267
HLA-DOA	-0.017522338
OR11L1	0.031116088
UPK1B	0.144701561
UGT1A8	0.022511883
HIST1H4L	-0.030584095
PECR	-0.001553644
HSPA2	-0.080734918
WFIKKN1	0.131182815
SERP1	0.001677559
SYDE2	0.019811091
TACR2	0.028922303
NUP85	0.081923675
CD177	0.273153974
LGR5	0.084639426
PIGG	-0.018001393
PTHR1	0.061910132
RAB5A	-0.003991042
FLJ13224	-0.019026508
USP9Y	0.004053433
C7orf53	-0.019528336
LRP1B	0.64360649
XAF1	0.06776819
ABCG8	-0.017989031
ANKDD1A	0.045063675
DAND5	0.050896709
SPAG6	0.812260024
LINCR	0.084202011
ZDHHC22	0.122773115
CCDC60	
THOC7	0.007887274
TCTA	-0.023038208
OR8K3	0.010829068
NY-REN-7	-0.021697442
B2M	-0.042475625
C6orf141	0.0066234
LPPR4	0.028367916
SQLE	0.095360832
SEPHS1	0.193366545
BTBD14B	0.017952219
PLRG1	0.000352377
SPG7	0.014765329
ZNF614	0.031135837
PARD6G	-0.03998106
INPP5B	0.02820006
GRPEL2	0.012315227
PPID	0.021344079
TRIM56	-0.004077697
UBE2J1	0.050599406
IL20RA	-0.270546161
LOC387856	0.069875382
C1orf107	0.033000601
UTS2R	-0.011520567
C19orf22	0.00989808
SAFB2	0.013127971
KIAA0652	-0.032263711
KLRG1	0.059835793
MS4A8B	0.595435307
FRAG1	0.001595064
KIAA1546	0.029352528
E2F4	0.023593784
CLEC4M	0.052312256
BTBD14A	0.067707952
KIAA0999	0.009765082
GYPA	-0.008011773
TAC1	0.413482313
TRAIP	0.030280294
KIAA0232	-0.073627422
ERCC8	0.015338046
GPX4	-0.022463665
KIAA0368	-0.021162706
GPR157	0.047176106
CTAGE4	-0.006228519
C9orf30	0.022849185
OR52A1	0.013505484
HSP90B3P	0.014978062
ALG9	-0.005028885
BTBD10	0.008680987
SDK2	0.026504265
BAIAP3	0.105732633
RABGGTB	0.000780393
ANKRD40	0.092391232
KRT74	
CALCOCO2	0.018457958
SNCA	0.030819927
TMSL8	0.341542276
C2orf53	-0.006847349
ESRRB	-0.023954446
ARHGAP26	0.087929388
TDRD9	0.360763254
HRAS	0.057230664
KLRC4	0.011941499
JAGN1	0.009400991
BSDC1	0.017267367
RNF43	-0.014441133
NDUFAF1	-0.054043419
PHF12	0.002184797
OR1L3	-0.016327543
FOLR2	0.045753909
LYZL6	0.002772038
tcag7.1260	0.164056673
WSB1	-0.010328444
PROS1	0.102173325
OSTN	-0.016808044
PSMB8	-0.082072212
SOCS4	-0.033907812
DDIT4L	0.154036411
MAS1	
MGC34796	0.000825868
CSHL1	-0.009603512
TBCCD1	0.040949113
ZBTB7C	0.008245887
AP2S1	0.024247029
P15RS	-0.003487629
VAT1	0.01197989
SHANK3	-0.021942715
TUFM	-0.017221514
THEG	0.179359384
KRT34	0.114878729
SGSM3	0.004912706
TOMM22	0.03328245
SOCS3	0.058750766
CPO	0.067321755
POP4	0.050791133
BHLHB3	0.031746801
MALL	0.19322791
OR1B1	-0.030375686
PARK2	0.084972539
GPR124	-0.024476658
LCE1E	
