ORF	GPL51-01 (GSM854) heat shock 05 min	GPL51-02 (GSM855) heat shock 10 min	GPL51-03 (GSM856) heat shock 15 min	GPL51-05 (GSM864) heat shock 20 min repeat	GPL51-06 (GSM865) heat shock 40 min	GPL51-07 (GSM868) heat shock 60 min	GPL51-08 (GSM872) heat shock 80 min
CYT2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MIF2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YKL091C	2.103	3.351	4.009	3.851	2.35	1.209	1.116
MBR1	0.0	1.489	2.467	1.872	0.0	0.0	0.0
STE3	0.0	0	0	0	0	0	0
RPL17A	0.0	0.0	-1.731	-1.947	-1.228	0.0	0.0
FAS1	0	0	0	0	0	0	0
SPE1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MTR2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PXA2	0	1.035	1.47	1.135	0.0	0	0.0
FMP46	0.0	0.0	1.562	1.271	0.0	0.0	0.0
YKR051W	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YSR3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RHO4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPS21A	0.0	0.0	-2.184	-1.925	-1.96	0.0	0.0
TIF1	0.0	0.0	-1.004	-1.265	-1.483	0.0	0.0
UBI4	2.547	3.686	3.975	3.281	1.708	1.714	1.585
SDH2	1.441	2.552	2.665	2.605	1.414	0.0	0.0
FPS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL8B	0.0	0.0	-1.746	-2.105	-1.781	0.0	0.0
YLL047W	0.0	0.0	0.0	-1.122	-1	0.0	0.0
LDB18	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LEU3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FPR4	0.0	-1.748	-3.266	-2.903	-1.724	0.0	0.0
VMA6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YLR445W	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ECM7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPS1A	0.0	0.0	-1.911	-1.733	-1.553	0.0	0.0
ILV5	0.0	-2.854	-1.846	-1.25	0.0	0.0	0.0
BUD8	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NIT3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YLR349W	0.0	0.0	0.0	0.0	0	0.0	0.0
KAP95	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YLR345W	0	0	0	0	0	0	0
HSP60	1.42	2.05	2.608	2.459	2.49	2.251	1.7
YLR257W	1.126	1.596	1.565	1.651	0.0	0.0	0.0
YLR255C	0.0	0.0	0.0	0.0	0.0	0	0.0
YLR253W	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SYM1	2.091	3.436	3.829	3.611	1.665	1.738	1.536
YEF3	0.0	-2.069	-2.818	-3.122	-1.868	0.0	0.0
MAS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YLR161W	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YLR159W	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASP3-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
