Gene,logFC,FDR adjusted Pvalue
5696,-1.110889273,1.30E-14
2162,1.498266878,1.30E-14
1909,1.494772902,1.31E-14
1038,2.127996869,1.33E-14
9353,1.609237192,1.35E-14
5311,0.766351638,1.41E-14
220164,1.637890596,1.50E-14
84935,1.927594023,1.52E-14
57493,1.202424894,1.58E-14
283298,1.35386492,1.99E-14
60312,0.963081137,2.07E-14
5924,1.49542903,2.37E-14
10351,2.49773015,2.45E-14
6383,1.400666257,2.97E-14
9638,1.030321669,3.02E-14
652,1.740137236,3.12E-14
9246,-1.038222579,3.17E-14
9856,-2.424619406,3.21E-14
6586,1.723382962,3.35E-14
54587,1.654929744,3.48E-14
9644,1.046226165,4.03E-14
56033,2.911900127,4.42E-14
10272,1.186488179,4.68E-14
140766,1.581703221,4.70E-14
1284,0.965539793,5.28E-14
649,0.929968078,5.42E-14
131578,2.705837202,5.42E-14
1893,1.36273893,5.49E-14
1264,1.798232195,5.64E-14
8913,2.313971062,5.86E-14
7373,1.744253993,5.86E-14
22836,1.311858376,6.20E-14
115908,1.489548726,7.74E-14
10231,1.154172483,8.50E-14
5789,2.21325617,8.90E-14
650,1.779285977,9.41E-14
113157,1.559069593,9.53E-14
64131,1.674646759,9.59E-14
6891,-1.069743921,9.60E-14
3339,1.044758721,1.06E-13
83742,0.972196541,1.13E-13
1282,0.968519621,1.19E-13
5010,1.574022515,1.37E-13
83439,1.452104492,1.40E-13
11031,0.83663278,1.43E-13
57125,1.180152303,1.45E-13
2817,1.031400542,1.49E-13
63895,2.119700997,1.51E-13
27129,1.741587292,1.57E-13
3627,-1.820197413,1.63E-13
5346,2.767331701,1.63E-13
2669,1.435183591,1.65E-13
9464,1.909092608,1.77E-13
4958,2.461623982,1.86E-13
8839,2.314041339,1.97E-13
3659,-1.059866922,2.12E-13
3580,-2.071875149,2.22E-13
10085,1.74843708,2.57E-13
2006,1.749007681,2.63E-13
55068,1.636168842,2.78E-13
54829,2.247978284,2.83E-13
25907,1.632489163,2.97E-13
729359,1.74187994,3.12E-13
2252,1.71251311,3.24E-13
115701,2.073380511,3.30E-13
126917,1.194753991,3.40E-13
2149,1.063712691,4.05E-13
79776,1.932715465,4.21E-13
6387,1.617036995,4.48E-13
3134,-1.26278145,4.76E-13
114801,1.247056744,4.83E-13
64388,1.93417537,4.92E-13
1573,-1.478388484,5.46E-13
94031,1.531300114,5.52E-13
9265,0.745731402,5.56E-13
23768,1.639017611,5.85E-13
56110,1.691552246,6.12E-13
11245,1.328216764,6.43E-13
22795,1.411123629,6.93E-13
8434,0.892454035,7.38E-13
7123,1.621527864,7.63E-13
5167,1.459206737,7.81E-13
51050,2.412975045,7.81E-13
401237,1.482668501,8.01E-13
56603,1.993908559,8.13E-13
166336,0.983153069,8.65E-13
4327,0.743211345,8.83E-13
3902,-1.399074314,9.38E-13
84432,3.404634162,9.72E-13
359845,1.173016649,9.80E-13
23362,1.066102164,1.13E-12
117248,1.795839621,1.20E-12
50614,3.175898558,1.25E-12
9111,-0.801057261,1.32E-12
145407,1.177169993,1.38E-12
79370,-1.556960939,1.41E-12
6423,2.854324608,1.43E-12
11096,1.714873826,1.68E-12
728215,1.565180611,1.68E-12
72,1.895822954,1.69E-12
860,1.325189916,1.70E-12
7379,2.557663822,1.70E-12
187,1.241150538,1.73E-12
57333,1.160329267,1.73E-12
50509,1.781923816,1.80E-12
952,-1.643405752,1.87E-12
389558,1.687948504,1.89E-12
7056,1.171761572,1.91E-12
79742,0.887673654,1.91E-12
7052,1.579828807,1.92E-12
579,2.34837061,1.98E-12
5396,1.930737361,2.05E-12
1959,1.506458033,2.05E-12
10365,1.300644736,2.17E-12
23176,0.754012144,2.18E-12
1464,1.145873616,2.22E-12
26153,1.978832567,3.01E-12
80310,1.28874694,3.05E-12
4130,1.111652438,3.05E-12
2121,0.817503931,3.09E-12
1592,2.325298814,3.18E-12
5993,-0.655409376,3.26E-12
5920,-1.419177738,3.38E-12
30846,1.031087617,3.47E-12
8646,1.650609859,3.47E-12
221091,1.369679225,3.51E-12
7048,0.74651618,3.51E-12
2246,1.579150569,3.58E-12
8522,1.02902732,3.90E-12
164312,1.899319659,3.96E-12
6624,1.062735988,3.99E-12
375033,1.384886034,4.18E-12
1301,2.468927334,4.85E-12
84752,0.886303717,4.90E-12
51513,-1.535862274,5.14E-12
27063,2.733199781,5.57E-12
26025,1.619157369,5.61E-12
2199,1.780645841,6.59E-12
4060,1.71874265,7.03E-12
6358,2.260596638,7.40E-12
90874,0.992603978,7.40E-12
64756,-0.644557791,7.40E-12
1287,1.247494576,7.41E-12
5359,-1.007914793,7.61E-12
54538,0.919726073,7.86E-12
60401,1.295317439,7.88E-12
3430,-1.028113894,8.43E-12
10866,-1.243544024,8.43E-12
65266,2.300791424,8.62E-12
3105,-1.010238993,8.77E-12
9547,2.30309813,9.70E-12
871,0.809562863,9.87E-12
57089,0.844139336,1.03E-11
94030,1.739724876,1.06E-11
116071,-1.338233407,1.06E-11
2825,1.604015486,1.06E-11
10501,0.935922073,1.11E-11
170685,1.636215993,1.13E-11
23677,0.902812021,1.22E-11
948,1.612236697,1.23E-11
114784,2.027977661,1.23E-11
323,0.799361106,1.23E-11
9242,1.526860345,1.25E-11
10512,1.05427702,1.38E-11
5176,1.486184401,1.48E-11
1300,1.996314552,1.51E-11
25878,1.296861846,1.57E-11
23194,1.193992693,1.76E-11
3112,-1.526454034,1.82E-11
8404,0.988827807,1.91E-11
83935,0.985719033,2.19E-11
27254,1.62888679,2.30E-11
203447,1.717977389,2.39E-11
79148,1.658323162,2.41E-11
445815,0.826939494,2.48E-11
7267,0.607100569,2.48E-11
84681,-0.910086383,2.59E-11
8991,-1.142596966,2.81E-11
2949,2.107646699,2.82E-11
55076,1.106968301,2.95E-11
41,1.56340845,3.19E-11
8013,2.024722132,3.26E-11
84620,1.944837801,3.43E-11
51226,1.271584711,3.54E-11
220,1.47432183,3.54E-11
79883,1.501172347,3.57E-11
7857,1.808206112,3.85E-11
5699,-0.947126125,3.85E-11
1733,-2.783917958,4.35E-11
493869,0.780644274,4.89E-11
63976,2.347563779,5.18E-11
154810,1.098181549,5.18E-11
6382,1.324194525,5.34E-11
3108,-1.220435813,5.67E-11
2192,1.307596874,5.83E-11
51191,-1.303525271,5.93E-11
79625,1.864908231,6.24E-11
284,1.49607029,6.44E-11
57687,1.761416403,6.56E-11
2259,1.637780557,6.67E-11
9886,0.890969754,6.83E-11
