Bait,Prey,UniProt,HEKScore,JurkatScore,Score
PR,NFAT5,O94916,0.761,0,0.38
PR,EML3,Q32P44,0.752,0,0.376
RT,GRB2,P62993,0.861,0.776,0.818
RT,SLC9A3R1,O14745,0,0.775,0.388
RT,KIAA1429,Q69YN4,0.77,0,0.385
IN,CKMT1A; CKMT1B,P12532,0.873,0,0.436
IN,UNC45A,Q9H3U1,0.851,0,0.426
IN,PLOD1,Q02809,0.827,0,0.413
IN,FAM96B,Q9Y3D0,0.824,0,0.412
IN,CAND2,O75155,0.823,0,0.411
IN,UBA1,P22314,0.818,0,0.409
IN,HDDC2,Q7Z4H3,0.815,0,0.408
IN,TYSND1,Q2T9J0,0.81,0,0.405
IN,WDR61,Q9GZS3,0.8,0,0.4
IN,PSIP1,O75475,0,0.797,0.398
IN,PLAA,Q9Y263,0.773,0,0.387
IN,HEATR1,Q9H583,0.77,0,0.385
IN,SUCLA2,Q9P2R7,0.768,0,0.384
IN,PDIA4,P13667,0.766,0,0.383
IN,RANBP6,O60518,0.763,0,0.382
IN,YWHAE,P62258,0.764,0,0.382
IN,CIAO1,O76071,0.765,0,0.382
IN,YWHAB,P31946,0.762,0,0.381
IN,MCM6,Q14566,0.759,0,0.38
IN,SLC30A7,Q8NEW0,0.758,0,0.379
IN,IPO4,Q8TEX9,0.756,0,0.378
IN,PLOD2,O00469,0.754,0,0.377
IN,YWHAZ,P63104,0.755,0,0.377
IN,YWHAG,P61981,0.753,0,0.376
IN,DSP,P15924,0.751,0,0.375
VIF,TCEB1,Q15369,0.956,0.972,0.964
VIF,CBFB,Q13951,0.916,0.975,0.945
VIF,TCEB2,Q15370,0.96,0.928,0.944
VIF,RNF7,Q9UBF6,0.858,0.952,0.905
VIF,AMBRA1,Q9C0C7,0.832,0.915,0.874
VIF,CUL5,Q93034,0.855,0.889,0.872
VIF,CUL2,Q13617,0.776,0.897,0.836
VIF,DNAJC7,Q99615,0.899,0.488,0.694
VIF,SQSTM1,Q13501,0.79,0.49,0.64
VIF,HUWE1,Q7Z6Z7,0.934,0.324,0.629
VIF,UBR2,Q8IWV8,0.911,0,0.456
VIF,STUB1,Q9UNE7,0.876,0,0.438
VIF,PSME3,P61289,0.842,0,0.421
VIF,NCOR1,O75376,0,0.821,0.411
VIF,HDAC3,O15379,0,0.817,0.408
VIF,MAGED1,Q9Y5V3,0,0.808,0.404
VIF,TBL1XR1,Q9BZK7,0,0.793,0.397
VIF,DCAF11,Q8TEB1,0,0.791,0.396
VIF,AKAP8L,Q9ULX6,0.788,0,0.394
VIF,BAG6,P46379,0.782,0,0.391
VIF,GPS2,Q13227,0,0.778,0.389
VIF,DNAJB2,P25686,0,0.774,0.387
VIF,MAPK6,Q16659,0,0.772,0.386
VIF,UBL4A,P11441,0.766,0,0.383
VPR,VPRBP,Q9Y4B6,0.958,0.884,0.921
VPR,DDA1,Q9BW61,0.818,0.909,0.863
VPR,DYNC1H1,Q14204,0.899,0.818,0.858
VPR,RBBP7,Q16576,0.876,0.808,0.842
VPR,ANKHD1,Q8IWZ3,0.885,0.765,0.825
VPR,DDB1,Q16531,0.851,0.789,0.82
VPR,GOLPH3,Q9H4A6,0.926,0.708,0.817
VPR,DYNC1I2,Q13409,0.838,0.792,0.815
VPR,DYNC1LI1,Q9Y6G9,0.825,0.802,0.813
VPR,ANKRD17,O75179,0.742,0.879,0.811
VPR,CEP170,Q5SW79,0.788,0.777,0.782
VPR,HAT1,O14929,0.906,0.6,0.753
VPR,COMT,P21964,0.775,0.244,0.51
VPR,MATR3,P43243,0.933,0,0.467
VPR,MOGS,Q13724,0.884,0,0.442
VPR,ANKRD13A,Q8IZ07,0,0.858,0.429
VPR,NDUFS8,O00217,0.855,0,0.428
VPR,SMN1; SMN2,Q16637,0,0.847,0.423
VPR,DPY19L1,Q2PZI1,0.845,0,0.422
VPR,GEMIN6,Q8WXD5,0,0.845,0.422
VPR,AGPS,O00116,0.841,0,0.421
VPR,WDR42A,Q5TAQ9,0,0.842,0.421
VPR,COPS4,Q9BT78,0,0.842,0.421
VPR,COPS6,Q7L5N1,0,0.838,0.419
VPR,COPS3,Q9UNS2,0,0.829,0.414
VPR,SIP1,O14893,0,0.823,0.412
VPR,DCAF11,Q8TEB1,0.794,0.027,0.411
VPR,COPS2,P61201,0,0.822,0.411
VPR,MTCH2,Q9Y6C9,0.816,0,0.408
VPR,COPS8,Q99627,0,0.809,0.405
VPR,GPS1,Q13098,0,0.809,0.405
VPR,CUL4A,Q13619,0,0.805,0.402
VPR,ACBD5,Q5T8D3,0.803,0,0.401
VPR,DPY19L3,Q6ZPD9,0.792,0,0.396
VPR,ABCD3,P28288,0.782,0,0.391
VPR,DDX20,Q9UHI6,0,0.778,0.389
VPR,CCDC47,Q96A33,0.779,0,0.389
VPR,PSME3,P61289,0,0.776,0.388
VPR,TMEM11,P17152,0.767,0,0.384
VPR,GEMIN4,P57678,0,0.767,0.384
VPR,NEDD4L,Q96PU5,0.768,0,0.384
VPR,UNG,P13051,0,0.766,0.383
VPR,GEMIN7,Q9H840,0,0.761,0.381
VPR,TULP3,O75386,0,0.762,0.381
VPR,ABCB10,Q9NRK6,0.753,0,0.377
VPR,COPS5,Q92905,0,0.751,0.376
VPR,TMEM160,Q9NX00,0.752,0,0.376
VPU,LRPPRC,P42704,0.975,0.915,0.945
VPU,C14orf156,Q9GZT3,0.969,0.877,0.923
VPU,FBXW11,Q9UKB1,0.947,0.852,0.899
VPU,SCAMP3,O14828,0.949,0.834,0.891
VPU,HADHA,P40939,0.913,0.841,0.877
VPU,IPO9,Q96P70,0.902,0.814,0.858
VPU,ATAD3A,Q9NVI7,0.874,0.841,0.857
VPU,CUL1,Q13616,0.839,0.873,0.856
VPU,SKP1,P63208,0.848,0.847,0.847
VPU,TMEM55B,Q86T03,0.881,0.802,0.841
VPU,CYB5R1,Q9UHQ9,0.818,0.862,0.84
VPU,HADHB,P55084,0.804,0.861,0.832
VPU,RTN3,O95197,0.785,0.863,0.824
VPU,RTN4,Q9NQC3,0.809,0.819,0.814
VPU,ATXN10,Q9UBB4,0.815,0.8,0.808
VPU,BTRC,Q9Y297,0.9,0.7,0.8
VPU,ATP5J,P18859,0.815,0.776,0.795
VPU,ATAD3B,Q5T9A4,0.785,0.78,0.783
VPU,ATP5F1,P24539,0.74,0.824,0.782
VPU,XPO1,O14980,0.813,0.717,0.765
VPU,LASS2,Q96G23,0.727,0.757,0.742
VPU,TBC1D15,Q8TC07,0.688,0.775,0.731
VPU,PRKDC,P78527,0.658,0.785,0.721
VPU,ATP5O,P48047,0.572,0.862,0.717
VPU,ATP5H,O75947,0.559,0.802,0.681
VPU,TBRG4,Q969Z0,0.863,0.488,0.675
VPU,RANBP1,P43487,0.766,0.574,0.67
VPU,ARFGEF1,Q9Y6D6,0.816,0.452,0.634
VPU,NEDD8,Q15843,0.763,0.417,0.59
VPU,ATP5B,P06576,0.375,0.784,0.579
VPU,NCAPD3,P42695,0.165,0.78,0.472
VPU,ACSL3,O95573,0.821,0.058,0.44
VPU,ATP2B1,P20020,0.852,0,0.426
VPU,HSD17B12,Q53GQ0,0.825,0,0.412
VPU,ARFGEF2,Q9Y6D5,0.812,0,0.406
VPU,TMEM192,Q8IY95,0.804,0,0.402
VPU,CNTNAP1,P78357,0.796,0,0.398
VPU,ATP5D,P30049,0,0.79,0.395
VPU,RHOV,Q99653,0,0.788,0.394
VPU,SGPL1,O95470,0.785,0,0.392
VPU,GIMAP5,Q96F15,0,0.781,0.391
VPU,PTGES3,Q15185,0,0.777,0.389
VPU,MSN,P26038,0,0.779,0.389
VPU,XPO5,Q9HAV4,0.776,0,0.388
VPU,ICAM2,P13598,0,0.774,0.387
VPU,RNF213,Q63HN8,0,0.774,0.387
VPU,EDC4,Q6P2E9,0,0.771,0.386
VPU,SLC27A4,Q6P1M0,0.772,0,0.386
VPU,DAGLB,Q8NCG7,0.766,0,0.383
VPU,PREB,Q9HCU5,0.767,0,0.383
VPU,PPP2R5E,Q16537,0.764,0,0.382
VPU,CEP57,Q86XR8,0,0.762,0.381
VPU,RANBP2,P49792,0.751,0,0.376
VPU,XPO4,Q9C0E2,0.752,0,0.376
TAT,CCNT1,O60563,0.909,0.867,0.888
TAT,CDK9,P50750,0.851,0.908,0.88
TAT,AFF4,Q9UHB7,0.83,0.884,0.857
TAT,AHCYL1,O43865,0.791,0.876,0.834
TAT,MEPCE,Q7L2J0,0.692,0.857,0.774
TAT,AHCYL2,Q96HN2,0.797,0.74,0.768
TAT,LARP7,Q4G0J3,0.54,0.915,0.727
TAT,SIRT1,Q96EB6,0.879,0.378,0.628
TAT,NAP1L4,Q99733,0.352,0.756,0.554
TAT,NPM3,O75607,0.242,0.847,0.545
TAT,ZFP91,Q96JP5,0.92,0,0.46
TAT,AFF1,P51825,0,0.908,0.454
TAT,PPM1G,O15355,0.884,0,0.442
